	word	count
0	government	580
1	aleppo	345
2	people	329
3	united	287
4	syrian	278
5	syria	204
6	city	189
7	war	184
8	nations	182
9	civilians	177
10	military	173
11	rebels	163
12	forces	157
13	would	142
14	rebel	140
15	russia	138
16	fighters	133
17	many	129
18	two	127
19	country	122
20	killed	121
21	areas	120
22	groups	119
23	also	118
24	state	115
25	officials	113
26	assad	110
27	years	109
28	group	108
29	president	107
30	eastern	106
31	states	106
32	including	100
33	last	98
34	000	95
35	residents	92
36	international	90
37	children	88
38	deal	83
39	turkey	82
40	fighting	81
41	could	80
42	aid	77
43	according	76
44	time	75
45	territory	71
46	russian	70
47	area	69
48	even	68
49	rights	67
50	humanitarian	67
51	say	64
52	still	64
53	monday	64
54	side	64
55	human	62
56	security	61
57	first	61
58	since	61
59	least	60
60	opposition	59
61	airstrikes	58
62	province	58
63	media	58
64	others	58
65	another	58
66	leave	58
67	attack	58
68	left	57
69	several	57
70	days	57
71	week	56
72	damascus	56
73	thousands	56
74	tuesday	55
75	iran	54
76	news	54
77	water	54
78	army	54
79	attacks	53
80	islamic	53
81	agreement	53
82	south	52
83	hospital	52
84	political	51
85	members	51
86	sunday	51
87	day	50
88	conflict	50
89	ground	50
90	statement	50
91	reported	50
92	world	49
93	called	49
94	idlib	49
95	capital	48
96	back	48
97	front	48
98	among	48
99	workers	48
100	control	48
101	bombing	48
102	shelling	48
103	friday	47
104	part	46
105	recent	46
106	violence	46
107	food	46
108	soldiers	46
109	council	46
110	hundreds	45
111	began	45
112	bashar	45
113	around	45
114	near	45
115	local	45
116	civil	44
117	way	44
118	peace	44
119	support	44
120	long	44
121	thursday	44
122	foreign	43
123	three	43
124	saturday	42
125	coup	42
126	used	42
127	american	41
128	erdogan	41
129	western	41
130	medical	40
131	told	40
132	allies	40
133	armed	40
134	besieged	40
135	year	40
136	take	40
137	past	40
138	experts	40
139	months	39
140	us	39
141	made	39
142	reports	39
143	without	39
144	shiite	39
145	general	39
146	buses	39
147	hit	39
148	neighborhoods	38
149	lebanon	38
150	turkish	37
151	talks	37
152	minister	37
153	five	37
154	life	36
155	center	36
156	saying	36
157	wounded	36
158	evacuation	36
159	added	36
160	help	36
161	militias	35
162	much	35
163	video	35
164	killing	35
165	east	35
166	took	34
167	troops	34
168	get	34
169	family	34
170	want	34
171	streets	34
172	dead	34
173	far	34
174	sides	34
175	hospitals	34
176	activists	33
177	report	33
178	men	33
179	showed	33
180	beirut	33
181	sudan	33
182	appeared	33
183	al	33
184	home	33
185	taken	32
186	bombs	32
187	message	32
188	victims	32
189	weapons	32
190	displaced	32
191	air	32
192	main	32
193	million	32
194	iraq	32
195	may	31
196	go	31
197	journalists	31
198	held	31
199	civilian	31
