Topic #,Keyword 1,Keyword 2,Keyword 3,Keyword 4,Keyword 5,Keyword 6,Keyword 7,Keyword 8,Keyword 9,Keyword 10
0,trump,party,republican,campaign,would,republicans,clinton,democrats,political,state
1,government,people,syria,united,syrian,city,military,russia,forces,war
2,water,people,would,city,also,two,officials,could,state,years
3,trump,clinton,voters,percent,state,would,among,states,republican,election
4,time,years,first,also,show,two,work,year,art,last
5,black,white,people,also,time,would,women,first,show,years
6,company,also,google,apple,could,people,many,would,companies,even
7,united,team,world,athletes,states,united states,olympic,games,two,first
8,briefing,trump,want,last,posted,briefing posted,eastern,back,people,may
9,united,states,united states,american,trump,would,people,president,also,country
10,city,york,people,would,many,years,time,also,two,street
11,court,judge,justice,law,case,would,supreme,supreme court,gorsuch,federal
12,obama,president,would,white,house,people,trump,white house,american,administration
13,trump,would,president,people,states,united,united states,american,many,also
14,russia,russian,trump,intelligence,officials,putin,american,would,president,states
15,women,men,woman,would,first,percent,many,people,also,time
16,time,also,first,years,book,life,even,american,people,way
17,times,york,news,york times,california,time,also,would,trump,media
18,police,officers,officer,department,city,people,black,man,chief,two
19,democrats,republican,republicans,trump,would,senate,house,party,president,senator
20,year,million,last,also,years,show,000,time,first,art
21,american,military,united,states,united states,officials,government,saudi,would,forces
22,people,many,also,would,years,two,even,time,way,could
23,china,chinese,government,would,beijing,american,people,united,trump,states
24,women,dr,health,people,states,also,percent,united,many,united states
25,russia,united,syria,states,united states,russian,government,syrian,would,military
26,european,britain,union,european union,would,europe,may,british,party,people
27,company,million,would,years,money,also,year,companies,private,government
28,people,time,also,would,even,could,get,way,know,think
29,trump,president,house,white,white house,obama,would,administration,officials,security
30,clinton,campaign,would,trump,state,president,sanders,also,hillary,democratic
31,game,team,first,two,players,would,last,season,time,games
32,state,would,people,law,states,north,republican,could,federal,governor
33,health,care,would,people,law,insurance,republicans,bill,health care,republican
34,would,trump,administration,government,also,federal,officials,president,department,people
35,russia,russian,athletes,olympic,officials,sports,doping,games,olympics,world
36,trump,clinton,campaign,would,president,republican,people,voters,also,hillary
37,percent,fed,economic,economy,year,rates,growth,would,rate,last
38,tax,trump,would,income,percent,taxes,million,could,also,economic
39,police,people,two,state,officials,islamic,attack,islamic state,killed,also
40,dr,cancer,people,patients,also,would,years,many,university,could
41,bank,wells,fargo,wells fargo,accounts,financial,employees,company,fed,million
42,would,years,state,two,court,case,time,people,police,also
43,trump,times,china,york,president,would,briefing,people,country,also
44,party,government,president,would,country,people,political,many,also,years
45,times,california,york,los,angeles,los angeles,san,york times,state,today
46,would,time,could,first,people,years,two,back,told,even
47,north,korea,north korea,south,korean,kim,nuclear,missile,united,south korea
48,news,media,people,trump,facebook,company,also,social,time,times
49,trump,show,may,series,two,would,york,government,episode,apple
50,show,also,time,year,first,people,two,last,netflix,even
51,trump,would,president,campaign,people,also,republican,clinton,news,donald
52,news,fox,ailes,fox news,network,reilly,show,trump,sexual,media
53,school,students,university,schools,year,public,college,would,education,also
54,israel,israeli,netanyahu,would,united,bank,security,also,state,palestinian
55,people,percent,many,year,work,also,years,even,would,000
56,company,would,also,year,companies,million,last,chief,executive,time
57,state,islamic,islamic state,syria,american,city,military,forces,group,officials
58,climate,change,climate change,would,also,could,water,trump,energy,years
59,family,children,would,time,school,two,home,years,mother,father
