	word	count
0	european	1226
1	britain	862
2	union	851
3	would	535
4	europe	396
5	may	385
6	british	371
7	party	329
8	london	289
9	leave	286
10	people	275
11	vote	272
12	referendum	262
13	bloc	261
14	minister	258
15	brexit	240
16	political	233
17	could	227
18	country	222
19	government	217
20	also	217
21	prime	212
22	parliament	208
23	many	192
24	germany	188
25	campaign	172
26	cameron	169
27	even	168
28	johnson	164
29	deal	164
30	last	163
31	percent	157
32	leaders	154
33	trump	154
34	united	153
35	years	153
36	states	149
37	leader	146
38	trade	145
39	world	142
40	countries	139
41	economic	138
42	year	137
43	brussels	136
44	two	136
45	since	133
46	president	132
47	member	130
48	remain	128
49	market	128
50	first	124
51	time	124
52	national	122
53	conservative	121
54	immigration	121
55	voters	118
56	former	114
57	merkel	112
58	made	111
59	france	108
60	million	105
61	much	105
62	want	104
63	labour	104
64	voted	104
65	members	101
66	exit	101
67	another	100
68	still	99
69	leaving	99
70	election	99
71	financial	98
72	whether	98
73	e	96
74	take	95
75	including	92
76	way	90
77	single	89
78	german	88
79	might	88
80	politics	86
81	membership	85
82	k	85
83	scotland	85
84	economy	84
85	say	84
86	week	81
87	across	81
88	next	81
89	added	80
90	secretary	80
91	foreign	80
92	make	80
93	turkey	79
94	support	79
95	000	78
96	crisis	78
97	back	77
98	independence	76
99	power	76
100	part	76
101	elections	73
102	process	73
103	friday	73
104	thursday	72
105	parties	72
106	access	71
107	gove	71
108	among	71
109	migrants	70
110	already	70
111	going	70
112	home	69
113	free	69
114	wrote	68
115	citizens	66
116	less	66
117	become	66
118	greece	66
119	far	66
120	get	66
121	decision	66
122	left	65
123	told	65
124	day	65
125	public	64
126	see	63
127	though	63
128	england	63
129	think	63
130	david	63
131	sunday	62
132	greek	62
133	officials	62
134	american	62
135	likely	61
136	without	61
137	chancellor	61
138	work	61
139	right	61
140	italy	60
141	result	60
142	future	60
143	policy	60
144	state	60
145	populist	60
146	monday	59
147	hard	59
148	nations	59
149	called	59
150	movement	59
151	little	59
152	need	58
153	known	58
154	withdrawal	58
155	continent	58
156	recent	58
157	services	58
158	commission	58
159	article	58
160	well	57
161	corbyn	57
162	clear	57
163	office	56
164	news	56
165	good	56
166	must	55
167	50	54
168	according	54
169	departure	53
170	expected	53
171	politicians	53
172	issues	52
173	june	52
174	house	52
175	better	52
176	issue	52
177	least	52
178	war	51
179	months	51
180	set	51
181	professor	51
182	group	51
183	around	51
184	business	51
185	others	50
186	nation	50
187	opposition	50
188	three	50
189	control	50
190	global	50
191	britons	49
192	theresa	49
193	early	49
194	long	49
195	money	49
196	director	48
197	negotiations	48
198	markets	48
199	strong	48
