	word	count
0	briefing	1251
1	trump	814
2	6	788
3	want	614
4	posted	549
5	eastern	452
6	evening	396
7	people	367
8	last	359
9	president	352
10	weekend	310
11	back	300
12	good	285
13	get	274
14	1	269
15	state	268
16	look	264
17	us	257
18	clinton	257
19	may	256
20	p	253
21	know	252
22	see	249
23	latest	247
24	would	243
25	10	239
26	2	238
27	5	231
28	morning	231
29	night	229
30	8	226
31	3	225
32	7	224
33	years	219
34	week	219
35	email	218
36	let	218
37	two	216
38	4	213
39	9	213
40	first	212
41	year	209
42	obama	204
43	also	204
44	com	203
45	nytimes	199
46	weekdays	198
47	could	197
48	miss	195
49	sundays	190
50	country	189
51	world	188
52	news	181
53	donald	180
54	finally	176
55	city	173
56	day	164
57	police	164
58	national	163
59	time	162
60	help	155
61	house	150
62	american	148
63	many	147
64	government	146
65	000	143
66	campaign	142
67	made	140
68	hillary	134
69	women	133
70	republican	133
71	say	132
72	11	130
73	officials	130
74	order	126
75	white	126
76	york	125
77	million	125
78	security	124
79	including	121
80	found	118
81	killed	116
82	former	116
83	secretary	114
84	federal	112
85	states	112
86	show	111
87	today	109
88	russia	107
89	attack	104
90	appear	103
91	top	101
92	court	101
93	united	100
94	even	99
95	version	97
96	team	97
97	called	96
98	next	94
99	north	93
100	much	93
101	says	93
102	readers	92
103	since	92
104	three	92
105	administration	92
106	party	92
107	least	92
108	times	91
109	black	91
110	make	90
111	company	89
112	election	89
113	days	88
114	war	88
115	friday	88
116	health	87
117	public	87
118	law	86
119	photographs	86
120	great	84
121	man	84
122	way	84
123	life	83
124	viewing	83
125	islamic	82
126	bill	82
127	political	82
128	set	79
129	another	78
130	take	78
131	presidential	78
132	leaders	77
133	big	77
134	left	77
135	took	76
136	death	76
137	major	76
138	department	76
139	china	75
140	woman	75
141	j	75
142	around	75
143	percent	75
144	ago	74
145	washington	73
146	still	72
147	used	72
148	military	72
149	minister	72
150	group	71
151	five	71
152	use	71
153	senate	70
154	final	70
155	video	70
156	nearly	70
157	stories	70
158	among	70
159	work	70
160	republicans	70
161	history	69
162	russian	69
163	thursday	69
164	might	68
165	home	67
166	trying	67
167	south	66
168	second	66
169	game	66
170	part	66
171	official	66
172	f	66
173	saying	65
174	case	65
175	vote	65
176	across	65
177	democratic	64
178	tuesday	64
179	syrian	64
180	b	63
181	report	63
182	end	63
183	experts	63
184	well	62
185	c	62
186	best	62
187	think	62
188	media	61
189	died	61
190	syria	61
191	going	61
192	officers	61
193	making	60
194	americans	60
195	critic	59
196	race	59
197	sunday	59
198	month	59
199	whether	58
