	word	count
0	united	1754
1	states	1512
2	trump	736
3	american	684
4	would	548
5	people	430
6	president	426
7	also	373
8	country	338
9	could	334
10	countries	334
11	many	322
12	years	308
13	mexico	305
14	world	293
15	officials	287
16	order	286
17	trade	276
18	two	272
19	administration	267
20	iran	258
21	government	252
22	nations	247
23	last	244
24	first	226
25	year	223
26	security	221
27	even	220
28	immigration	216
29	state	214
30	made	203
31	refugees	200
32	time	199
33	000	197
34	ban	195
35	castro	183
36	america	177
37	border	177
38	back	175
39	cuba	173
40	international	167
41	executive	166
42	including	165
43	make	164
44	washington	163
45	policy	162
46	department	162
47	since	160
48	war	159
49	family	159
50	nuclear	156
51	obama	153
52	still	149
53	political	141
54	according	140
55	york	139
56	among	136
57	week	135
58	foreign	134
59	percent	134
60	may	133
61	part	133
62	work	132
63	much	131
64	three	131
65	million	128
66	friday	125
67	way	123
68	told	122
69	home	122
70	get	121
71	former	121
72	going	121
73	say	121
74	travel	120
75	deal	120
76	china	119
77	come	119
78	whether	119
79	long	117
80	news	117
81	rights	116
82	called	116
83	national	115
84	another	115
85	japan	115
86	house	114
87	agreement	114
88	several	114
89	refugee	114
90	federal	113
91	around	112
92	mexican	111
93	americans	111
94	well	109
95	added	106
96	case	106
97	immigrants	105
98	law	105
99	legal	104
100	company	104
101	times	103
102	seven	102
103	iranian	101
104	without	100
105	volkswagen	100
106	might	100
107	statement	100
108	white	99
109	day	99
110	canada	98
111	airlines	97
112	take	97
113	airport	97
114	group	96
115	military	96
116	thursday	95
117	number	95
118	help	95
119	days	95
120	economic	95
121	cuban	95
122	syria	94
123	program	93
124	months	93
125	members	93
126	go	93
127	1	92
128	official	91
129	flight	91
130	office	91
131	use	91
132	iraq	91
133	asked	91
134	billion	91
135	major	90
136	general	90
137	public	90
138	children	89
139	companies	89
140	ago	89
141	see	89
142	far	89
143	north	88
144	know	87
145	already	86
146	others	86
147	secretary	86
148	wrote	86
149	across	85
150	announced	85
151	change	85
152	thousands	84
153	power	84
154	business	84
155	later	83
156	university	83
157	european	83
158	us	83
159	jobs	83
160	director	82
161	want	82
162	though	82
163	minister	81
164	10	81
165	center	80
166	europe	80
167	less	79
168	interview	79
169	south	79
170	left	78
171	city	78
172	took	78
173	nearly	77
174	four	77
175	whose	77
176	saying	77
177	used	77
178	court	77
179	month	77
180	five	76
181	life	76
182	visa	76
183	recent	76
184	organization	76
185	place	76
186	campaign	76
187	muslim	76
188	visas	74
189	began	73
190	put	73
191	saturday	73
192	council	73
193	never	73
194	came	72
195	monday	72
196	clear	72
197	leaders	72
198	past	72
199	end	72
