	word	count
0	court	1670
1	judge	956
2	justice	855
3	case	595
4	law	570
5	would	563
6	supreme	538
7	gorsuch	383
8	decision	381
9	president	365
10	states	313
11	federal	311
12	trump	298
13	ruling	290
14	state	286
15	legal	278
16	could	266
17	also	244
18	cases	228
19	appeals	219
20	wrote	219
21	rights	214
22	united	209
23	texas	208
24	people	203
25	chief	197
26	justices	195
27	whether	195
28	government	193
29	public	189
30	years	187
31	last	183
32	right	181
33	time	180
34	two	179
35	year	171
36	trial	164
37	lawyers	161
38	order	159
39	administration	156
40	obama	156
41	abortion	155
42	lawyer	153
43	courts	151
44	may	150
45	university	147
46	judges	144
47	department	142
48	statement	141
49	washington	141
50	even	141
51	first	139
52	former	130
53	many	130
54	circuit	129
55	v	129
56	school	127
57	monday	124
58	roberts	124
59	scalia	122
60	political	120
61	senate	120
62	conservative	117
63	executive	116
64	country	115
65	constitutional	115
66	say	115
67	professor	114
68	vote	112
69	laws	110
70	called	110
71	asked	109
72	general	107
73	women	105
74	argued	104
75	thursday	103
76	republican	103
77	made	102
78	majority	102
79	death	102
80	think	102
81	hearing	101
82	senator	101
83	power	100
84	including	100
85	make	99
86	another	98
87	immigration	97
88	district	97
89	officials	96
90	ginsburg	95
91	white	94
92	ban	94
93	saying	94
94	ruled	92
95	national	91
96	since	91
97	part	91
98	groups	91
99	kennedy	91
100	three	90
101	opinion	90
102	act	89
103	take	88
104	issue	87
105	judicial	87
106	c	87
107	evidence	86
108	long	86
109	later	85
110	office	85
111	nominee	85
112	g	84
113	found	84
114	much	84
115	question	83
116	life	83
117	group	83
118	congress	83
119	voting	83
120	criminal	82
121	appeal	82
122	civil	81
123	prosecutors	81
124	action	80
125	democrats	79
126	decisions	78
127	republicans	77
128	confirmation	77
129	might	77
130	way	76
131	american	76
132	election	75
133	county	75
134	still	75
135	based	75
136	four	74
137	without	74
138	added	74
139	house	74
140	filed	73
141	likely	72
142	work	72
143	attorney	72
144	system	72
145	use	71
146	family	71
147	several	71
148	tuesday	71
149	process	70
150	sentence	70
151	told	69
152	given	69
153	students	69
154	york	68
155	j	68
156	second	68
157	standing	68
158	next	68
159	constitution	68
160	rules	68
161	going	68
162	f	67
163	jr	67
164	though	67
165	amendment	67
166	policy	67
167	million	66
168	among	66
169	l	66
170	pistorius	66
171	friday	66
172	day	66
173	authority	64
174	times	64
175	jury	64
176	panel	63
177	mcdonnell	63
178	voters	63
179	term	63
180	support	62
181	redstone	62
182	program	62
183	come	61
184	according	61
185	matter	60
186	issued	60
187	garland	60
188	bill	60
189	thomas	60
190	nomination	60
191	major	59
192	rule	59
193	members	59
194	questions	59
195	cosby	59
196	left	59
197	change	59
198	players	58
199	back	58
