	word	count
0	north	1007
1	korea	758
2	kim	367
3	korean	345
4	south	318
5	missile	257
6	united	253
7	china	244
8	nuclear	240
9	states	214
10	would	172
11	trump	161
12	american	124
13	country	122
14	chinese	119
15	officials	115
16	test	109
17	could	107
18	weapons	106
19	government	105
20	president	101
21	also	101
22	missiles	99
23	japan	97
24	two	94
25	security	93
26	military	92
27	last	87
28	leader	84
29	malaysia	83
30	sanctions	79
31	defense	78
32	state	76
33	system	75
34	ballistic	72
35	year	70
36	first	70
37	program	69
38	international	65
39	police	63
40	statement	60
41	malaysian	58
42	administration	57
43	news	56
44	foreign	56
45	beijing	55
46	ministry	54
47	obama	54
48	may	53
49	years	53
50	national	52
51	nations	52
52	pyongyang	52
53	including	51
54	friday	51
55	launch	51
56	seoul	49
57	attack	49
58	official	48
59	analysts	47
60	koreans	47
61	since	45
62	tillerson	44
63	xi	44
64	take	44
65	secretary	44
66	washington	43
67	intelligence	42
68	used	42
69	time	42
70	called	42
71	meeting	41
72	policy	40
73	according	40
74	threat	39
75	intercontinental	39
76	use	39
77	make	38
78	day	38
79	much	37
80	say	37
81	minister	37
82	tests	37
83	public	37
84	killing	37
85	thaad	37
86	experts	36
87	senior	36
88	brother	36
89	another	36
90	war	36
91	people	35
92	tuesday	35
93	might	34
94	women	34
95	recent	34
96	power	34
97	kuala	34
98	lumpur	34
99	former	33
100	chemical	33
101	engine	33
102	launched	32
103	party	32
104	rocket	31
105	times	31
106	half	31
107	long	31
108	monday	31
109	japanese	30
110	deployment	30
111	even	30
112	abe	30
113	institute	30
114	strike	30
115	thae	29
116	airport	29
117	department	29
118	reported	29
119	icbm	29
120	university	29
121	told	29
122	talks	29
123	family	29
124	embassy	28
125	council	28
126	case	28
127	made	28
128	trade	28
129	countries	28
130	came	28
131	wednesday	28
132	agency	28
133	far	27
134	known	27
135	part	27
136	saying	27
137	relations	27
138	three	27
139	group	26
140	assassination	26
141	weapon	26
142	world	26
143	leaders	26
144	york	25
145	never	25
146	many	25
147	whether	25
148	studies	25
149	deal	25
150	executed	25
151	authorities	25
152	believed	25
153	investigation	25
154	place	25
155	attacks	25
156	action	25
157	banks	25
158	still	25
159	general	24
160	enough	24
161	reach	24
162	coal	24
163	often	24
164	without	24
165	already	24
166	park	24
167	hwang	24
168	allies	24
169	technology	23
170	peninsula	23
171	warhead	23
172	face	23
173	ri	23
174	political	23
175	2	23
176	next	23
177	effort	23
178	way	23
179	left	23
180	ability	23
181	warheads	22
182	lee	22
183	conducted	22
184	office	22
185	iran	22
186	capabilities	22
187	powerful	22
188	programs	22
189	days	22
190	capable	22
191	arsenal	22
192	development	22
193	regime	22
194	miles	22
195	later	22
196	back	21
197	four	21
198	bank	21
199	warned	21
