	word	count
0	olympic	756
1	athletes	706
2	games	595
3	olympics	552
4	rio	497
5	world	495
6	russia	489
7	team	472
8	sports	459
9	united	433
10	states	426
11	russian	381
12	doping	365
13	would	365
14	two	334
15	gold	329
16	officials	315
17	first	315
18	american	314
19	medal	307
20	time	305
21	last	294
22	could	263
23	years	262
24	also	259
25	sport	249
26	international	248
27	phelps	230
28	committee	223
29	antidoping	213
30	wada	213
31	people	210
32	year	208
33	country	204
34	track	203
35	players	200
36	national	199
37	women	197
38	field	191
39	three	188
40	c	188
41	agency	180
42	many	174
43	dr	173
44	made	171
45	de	170
46	win	165
47	medals	161
48	brazil	158
49	even	157
50	president	155
51	summer	154
52	competition	144
53	times	143
54	four	142
55	sochi	139
56	rodchenkov	137
57	top	137
58	week	135
59	including	135
60	final	135
61	soccer	133
62	lochte	132
63	since	131
64	men	131
65	janeiro	131
66	make	131
67	get	129
68	event	127
69	london	127
70	athlete	125
71	still	125
72	going	124
73	report	124
74	global	124
75	brazilian	124
76	day	123
77	way	121
78	may	120
79	second	118
80	think	118
81	want	117
82	told	115
83	night	114
84	go	114
85	best	112
86	friday	111
87	took	110
88	coach	110
89	former	109
90	2012	109
91	1	109
92	back	108
93	cup	106
94	later	106
95	2014	106
96	race	106
97	see	105
98	take	105
99	called	104
100	never	104
101	another	103
102	game	103
103	swimming	103
104	around	102
105	open	102
106	several	101
107	much	100
108	sunday	98
109	match	98
110	know	97
111	came	97
112	government	97
113	decision	96
114	really	96
115	individual	95
116	compete	95
117	city	93
118	tuesday	92
119	home	92
120	next	92
121	lab	92
122	asked	92
123	long	91
124	say	91
125	added	91
126	good	90
127	well	90
128	every	89
129	biles	88
130	month	88
131	news	87
132	got	87
133	months	86
134	000	86
135	samples	86
136	drug	85
137	part	85
138	federation	85
139	hockey	85
140	according	84
141	events	84
142	might	83
143	among	83
144	urine	83
145	swimmers	82
146	record	82
147	program	82
148	investigation	82
149	fans	82
150	played	81
151	york	81
152	state	81
153	recent	81
154	history	81
155	seconds	81
156	set	81
157	champion	80
158	became	80
159	body	80
160	countries	80
161	right	79
162	monday	79
163	police	79
164	10	79
165	organization	78
166	used	78
167	left	77
168	days	77
169	ledecky	77
170	f	77
171	five	77
172	bronze	77
173	court	76
174	2	76
175	water	76
176	silver	76
177	mutko	76
178	use	76
179	director	75
180	tennis	74
181	hosszu	74
182	pool	73
183	authorities	73
184	marathon	72
185	statement	72
186	player	72
187	americans	72
188	finished	72
189	victory	72
190	play	72
191	williams	72
192	thursday	72
193	life	71
194	always	71
195	went	70
196	money	70
197	major	70
198	lot	69
199	point	69
