	word	count
0	game	1377
1	team	1069
2	players	806
3	season	748
4	first	741
5	two	628
6	would	603
7	last	596
8	games	545
9	play	485
10	time	484
11	league	461
12	year	440
13	back	420
14	three	418
15	also	402
16	years	385
17	win	364
18	teams	362
19	even	356
20	second	355
21	could	346
22	player	334
23	coach	327
24	l	325
25	fans	323
26	four	322
27	final	320
28	points	306
29	going	303
30	home	301
31	f	300
32	made	297
33	get	291
34	played	291
35	field	282
36	sunday	274
37	way	273
38	ball	270
39	much	260
40	series	251
41	week	251
42	since	249
43	basketball	249
44	day	247
45	c	247
46	world	246
47	go	244
48	best	243
49	still	242
50	tournament	239
51	good	239
52	playing	236
53	1	231
54	baseball	229
55	make	228
56	run	227
57	b	225
58	left	223
59	many	222
60	night	217
61	victory	217
62	next	213
63	championship	213
64	warriors	210
65	people	207
66	think	206
67	state	206
68	yards	205
69	national	204
70	right	204
71	another	200
72	got	197
73	williams	197
74	long	196
75	football	196
76	came	194
77	end	193
78	hit	193
79	lead	193
80	city	190
81	career	189
82	big	189
83	major	188
84	never	188
85	open	187
86	top	185
87	cubs	181
88	well	181
89	know	180
90	lost	179
91	took	178
92	third	177
93	may	176
94	minutes	175
95	start	174
96	might	172
97	every	172
98	10	168
99	sports	168
100	point	167
101	2	164
102	around	163
103	match	163
104	five	163
105	defense	162
106	carolina	162
107	conference	162
108	title	161
109	lot	159
110	though	159
111	quarterback	154
112	record	154
113	line	153
114	club	153
115	green	152
116	shot	149
117	really	149
118	half	148
119	set	148
120	away	147
121	enough	146
122	tennis	146
123	come	145
124	want	145
125	round	145
126	see	145
127	fourth	144
128	went	142
129	little	142
130	past	142
131	led	142
132	days	141
133	3	141
134	take	140
135	seasons	137
136	7	137
137	winning	136
138	cleveland	135
139	early	134
140	part	134
141	playoff	133
142	united	133
143	without	133
144	later	132
145	6	132
146	curry	132
147	great	131
148	james	131
149	quarter	131
150	touchdown	131
151	including	129
152	times	128
153	college	128
154	history	128
155	saturday	127
156	always	127
157	former	125
158	court	125
159	six	124
160	things	124
161	say	124
162	north	124
163	something	124
164	added	122
165	women	122
166	patriots	121
167	beat	121
168	university	121
169	hard	121
170	better	120
171	school	120
172	told	119
173	finals	119
174	seemed	117
175	free	117
176	stadium	117
177	high	116
178	soccer	115
179	put	115
180	cavaliers	115
181	mets	115
182	5	115
183	giants	114
184	san	113
185	england	112
186	4	112
187	us	109
188	become	108
189	men	108
190	making	107
191	work	107
192	manager	107
193	states	107
194	brady	107
195	head	107
196	often	107
197	least	105
198	ago	104
199	loss	104
