	word	count
0	government	580
1	aleppo	345
2	people	329
3	united	287
4	syrian	278
5	syria	204
6	city	189
7	war	184
8	nations	182
9	civilians	177
10	military	173
11	rebels	163
12	forces	157
13	would	142
14	rebel	140
15	russia	138
16	fighters	133
17	many	129
18	two	127
19	country	122
20	killed	121
21	areas	120
22	groups	119
23	also	118
24	state	115
25	officials	113
26	assad	110
27	years	109
28	group	108
29	president	107
30	states	106
31	eastern	106
32	including	100
33	last	98
34	000	95
35	residents	92
36	international	90
37	children	88
38	deal	83
39	turkey	82
40	fighting	81
41	could	80
42	aid	77
43	according	76
44	time	75
45	territory	71
46	russian	70
47	area	69
48	even	68
49	rights	67
50	humanitarian	67
51	say	64
52	side	64
53	monday	64
54	still	64
55	human	62
56	since	61
57	first	61
58	security	61
59	least	60
60	opposition	59
61	others	58
62	attack	58
63	province	58
64	airstrikes	58
65	media	58
66	leave	58
67	another	58
68	days	57
69	left	57
70	several	57
71	week	56
72	damascus	56
73	thousands	56
74	tuesday	55
75	water	54
76	news	54
77	iran	54
78	army	54
79	islamic	53
80	attacks	53
81	agreement	53
82	hospital	52
83	south	52
84	political	51
85	sunday	51
86	members	51
87	ground	50
88	statement	50
89	reported	50
90	conflict	50
91	day	50
92	world	49
93	idlib	49
94	called	49
95	bombing	48
96	capital	48
97	control	48
98	back	48
99	workers	48
100	shelling	48
101	front	48
102	among	48
103	friday	47
104	soldiers	46
105	food	46
106	part	46
107	recent	46
108	council	46
109	violence	46
110	near	45
111	hundreds	45
112	began	45
113	bashar	45
114	local	45
115	around	45
116	way	44
117	peace	44
118	thursday	44
119	support	44
120	long	44
121	civil	44
122	three	43
123	foreign	43
124	coup	42
125	saturday	42
126	used	42
127	western	41
128	erdogan	41
129	american	41
130	past	40
131	take	40
132	experts	40
133	besieged	40
134	allies	40
135	year	40
136	medical	40
137	told	40
138	armed	40
139	buses	39
140	made	39
141	general	39
142	without	39
143	shiite	39
144	months	39
145	us	39
146	hit	39
147	reports	39
148	lebanon	38
149	neighborhoods	38
150	turkish	37
151	five	37
152	minister	37
153	talks	37
154	saying	36
155	center	36
156	help	36
157	wounded	36
158	evacuation	36
159	life	36
160	added	36
161	militias	35
162	east	35
163	much	35
164	killing	35
165	video	35
166	get	34
167	far	34
168	sides	34
169	streets	34
170	family	34
171	dead	34
172	hospitals	34
173	took	34
174	want	34
175	troops	34
176	showed	33
177	appeared	33
178	activists	33
179	sudan	33
180	home	33
181	beirut	33
182	al	33
183	men	33
184	report	33
185	taken	32
186	air	32
187	iraq	32
188	million	32
189	message	32
190	bombs	32
191	weapons	32
192	victims	32
193	displaced	32
194	main	32
195	may	31
196	held	31
197	go	31
198	districts	31
199	journalists	31
