	word	count
0	trump	13530
1	president	2968
2	would	2216
3	white	1874
4	house	1739
5	campaign	1717
6	clinton	1438
7	people	1409
8	obama	1351
9	also	1211
10	republican	1168
11	could	1053
12	voters	1010
13	news	1008
14	states	989
15	election	943
16	first	943
17	national	939
18	even	908
19	two	885
20	administration	875
21	state	864
22	many	863
23	time	842
24	last	827
25	donald	783
26	former	774
27	washington	756
28	political	739
29	made	729
30	office	712
31	york	703
32	united	698
33	presidential	686
34	percent	683
35	business	665
36	american	665
37	security	647
38	officials	642
39	among	639
40	twitter	639
41	say	634
42	government	625
43	country	622
44	times	616
45	going	597
46	years	593
47	told	585
48	week	582
49	think	579
50	media	577
51	party	577
52	secretary	566
53	year	565
54	vote	550
55	republicans	549
56	according	549
57	democrats	545
58	day	544
59	make	541
60	still	534
61	much	528
62	j	522
63	public	512
64	back	508
65	called	508
66	whether	504
67	including	496
68	democratic	493
69	policy	491
70	general	491
71	may	489
72	company	484
73	support	482
74	executive	482
75	candidate	480
76	intelligence	473
77	since	465
78	chief	465
79	way	465
80	team	459
81	asked	458
82	interview	454
83	million	447
84	well	444
85	polls	440
86	department	438
87	federal	438
88	friday	432
89	get	423
90	foreign	417
91	members	410
92	adviser	403
93	added	400
94	committee	397
95	might	396
96	family	395
97	know	393
98	real	391
99	hillary	390
100	part	389
101	show	389
102	transition	386
103	another	384
104	russia	381
105	several	381
106	spicer	381
107	saying	379
108	world	378
109	take	376
110	statement	373
111	never	370
112	press	369
113	work	369
114	senator	368
115	women	368
116	kushner	367
117	bannon	364
118	staff	363
119	early	359
120	later	359
121	tuesday	358
122	long	358
123	around	354
124	flynn	353
125	days	353
126	thursday	351
127	order	351
128	see	351
129	post	349
130	director	347
131	meeting	346
132	group	343
133	organization	342
134	city	340
135	monday	340
136	america	338
137	wrote	336
138	night	334
139	want	334
140	speech	332
141	black	331
142	top	329
143	recent	327
144	came	326
145	bush	326
146	tower	322
147	reporters	320
148	supporters	320
149	aides	320
150	right	317
151	though	315
152	good	315
153	pence	312
154	wednesday	311
155	000	310
156	conservative	309
157	far	307
158	win	304
159	took	303
160	often	303
161	official	302
162	questions	301
163	close	300
164	immigration	298
165	weeks	298
166	law	297
167	court	296
168	little	293
169	less	293
170	next	292
171	role	292
172	three	291
173	leaders	289
174	great	289
175	lot	289
176	put	287
177	presidency	287
178	saturday	287
179	clear	285
180	advisers	285
181	name	284
182	2012	282
183	nominee	281
184	father	281
185	case	281
186	change	280
187	job	280
188	without	276
189	really	275
190	something	275
191	senior	270
192	come	270
193	c	269
194	go	268
195	hotel	263
196	race	261
197	military	260
198	chairman	259
199	past	259
